row_id,source_file,source_sheet,paper_id,curve_id,condition_id,regime_family,subset_name,monomer,temperature_C,time_value_raw,time_unit_raw,time_min,residence_time_min,solvent,initiator,cta,reactor_type,atmosphere,pressure_bar,light_wavelength_nm,light_intensity_mw_cm2,measurement_type,target_raw,target_raw_unit,conversion_fraction,conversion_percent,neg_log_one_minus_conversion,Mn,PDI,Mw_derived,target_value_final,target_name_final,digitized_from_figure,notes,ingestion_warning,validation_status,is_duplicate_suspected,is_out_of_range,source_group,layout_family,time_basis,model_time_min,temperature_time_interaction,log10_Mn,log_PDI,nmr_monomer_integral,nmr_polymer_integral
row_00001,Data_extracted_MMA_STY/MMA_fig1a.xlsx,MMA,digitized_mma_sty_upload,MMA_fig1a__T60,MMA_fig1a__T60,raft_photo_flow_mma,primary_mma_flow_conversion,MMA,60.0,0.0,min,0.0,0.0,,,,flow,,,,,conversion_kinetics,0.0,neg_log_one_minus_conversion,0.0,0.0,0.0,,,,0.0,neg_log_one_minus_conversion,True,Residence-time conversion curves digitized from an uploaded figure. Flow interpretation is explicit in the t_res axis label.,,ok,False,False,MMA_fig1a,paired_time_series,residence_time,0.0,0.0,,,,
row_00002,Data_extracted_MMA_STY/MMA_fig1a.xlsx,MMA,digitized_mma_sty_upload,MMA_fig1a__T60,MMA_fig1a__T60,raft_photo_flow_mma,primary_mma_flow_conversion,MMA,60.0,1.385681293,min,1.385681293,1.385681293,,,,flow,,,,,conversion_kinetics,0.006302521,neg_log_one_minus_conversion,0.006282701773411836,0.6282701773411836,0.006302521,,,,0.006302521,neg_log_one_minus_conversion,True,Residence-time conversion curves digitized from an uploaded figure. Flow interpretation is explicit in the t_res axis label.,,ok,False,False,MMA_fig1a,paired_time_series,residence_time,1.385681293,83.14087758,,,,
row_00003,Data_extracted_MMA_STY/MMA_fig1a.xlsx,MMA,digitized_mma_sty_upload,MMA_fig1a__T60,MMA_fig1a__T60,raft_photo_flow_mma,primary_mma_flow_conversion,MMA,60.0,1.778290993,min,1.778290993,1.778290993,,,,flow,,,,,conversion_kinetics,0.008403361,neg_log_one_minus_conversion,0.008368151457145423,0.8368151457145423,0.008403361,,,,0.008403361,neg_log_one_minus_conversion,True,Residence-time conversion curves digitized from an uploaded figure. Flow interpretation is explicit in the t_res axis label.,,ok,False,False,MMA_fig1a,paired_time_series,residence_time,1.778290993,106.69745958,,,,
row_00004,Data_extracted_MMA_STY/MMA_fig1a.xlsx,MMA,digitized_mma_sty_upload,MMA_fig1a__T60,MMA_fig1a__T60,raft_photo_flow_mma,primary_mma_flow_conversion,MMA,60.0,2.217090069,min,2.217090069,2.217090069,,,,flow,,,,,conversion_kinetics,0.012184874,neg_log_one_minus_conversion,0.012110939023600498,1.2110939023600498,0.012184874,,,,0.012184874,neg_log_one_minus_conversion,True,Residence-time conversion curves digitized from an uploaded figure. Flow interpretation is explicit in the t_res axis label.,,ok,False,False,MMA_fig1a,paired_time_series,residence_time,2.217090069,133.02540414,,,,
row_00005,Data_extracted_MMA_STY/MMA_fig1a.xlsx,MMA,digitized_mma_sty_upload,MMA_fig1a__T60,MMA_fig1a__T60,raft_photo_flow_mma,primary_mma_flow_conversion,MMA,60.0,2.448036952,min,2.448036952,2.448036952,,,,flow,,,,,conversion_kinetics,0.013865546,neg_log_one_minus_conversion,0.013769862064246685,1.3769862064246685,0.013865546,,,,0.013865546,neg_log_one_minus_conversion,True,Residence-time conversion curves digitized from an uploaded figure. Flow interpretation is explicit in the t_res axis label.,,ok,False,False,MMA_fig1a,paired_time_series,residence_time,2.448036952,146.88221711999998,,,,
row_00006,Data_extracted_MMA_STY/MMA_fig1a.xlsx,MMA,digitized_mma_sty_upload,MMA_fig1a__T60,MMA_fig1a__T60,raft_photo_flow_mma,primary_mma_flow_conversion,MMA,60.0,2.632794457,min,2.632794457,2.632794457,,,,flow,,,,,conversion_kinetics,0.015966387,neg_log_one_minus_conversion,0.01583959991714945,1.583959991714945,0.015966387,,,,0.015966387,neg_log_one_minus_conversion,True,Residence-time conversion curves digitized from an uploaded figure. Flow interpretation is explicit in the t_res axis label.,,ok,False,False,MMA_fig1a,paired_time_series,residence_time,2.632794457,157.96766742,,,,
row_00007,Data_extracted_MMA_STY/MMA_fig1a.xlsx,MMA,digitized_mma_sty_upload,MMA_fig1a__T60,MMA_fig1a__T60,raft_photo_flow_mma,primary_mma_flow_conversion,MMA,60.0,2.794457275,min,2.794457275,2.794457275,,,,flow,,,,,conversion_kinetics,0.017226891,neg_log_one_minus_conversion,0.01707935651486925,1.7079356514869248,0.017226891,,,,0.017226891,neg_log_one_minus_conversion,True,Residence-time conversion curves digitized from an uploaded figure. Flow interpretation is explicit in the t_res axis label.,,ok,False,False,MMA_fig1a,paired_time_series,residence_time,2.794457275,167.6674365,,,,
row_00008,Data_extracted_MMA_STY/MMA_fig1a.xlsx,MMA,digitized_mma_sty_upload,MMA_fig1a__T60,MMA_fig1a__T60,raft_photo_flow_mma,primary_mma_flow_conversion,MMA,60.0,2.979214781,min,2.979214781,2.979214781,,,,flow,,,,,conversion_kinetics,0.017226891,neg_log_one_minus_conversion,0.01707935651486925,1.7079356514869248,0.017226891,,,,0.017226891,neg_log_one_minus_conversion,True,Residence-time conversion curves digitized from an uploaded figure. Flow interpretation is explicit in the t_res axis label.,,ok,False,False,MMA_fig1a,paired_time_series,residence_time,2.979214781,178.75288686,,,,
row_00009,Data_extracted_MMA_STY/MMA_fig1a.xlsx,MMA,digitized_mma_sty_upload,MMA_fig1a__T60,MMA_fig1a__T60,raft_photo_flow_mma,primary_mma_flow_conversion,MMA,60.0,3.11778291,min,3.11778291,3.11778291,,,,flow,,,,,conversion_kinetics,0.018907563,neg_log_one_minus_conversion,0.018729936288465088,1.8729936288465088,0.018907563,,,,0.018907563,neg_log_one_minus_conversion,True,Residence-time conversion curves digitized from an uploaded figure. Flow interpretation is explicit in the t_res axis label.,,ok,False,False,MMA_fig1a,paired_time_series,residence_time,3.11778291,187.06697459999998,,,,
row_00010,Data_extracted_MMA_STY/MMA_fig1a.xlsx,MMA,digitized_mma_sty_upload,MMA_fig1a__T60,MMA_fig1a__T60,raft_photo_flow_mma,primary_mma_flow_conversion,MMA,60.0,3.279445727,min,3.279445727,3.279445727,,,,flow,,,,,conversion_kinetics,0.020168067,neg_log_one_minus_conversion,0.01996605190084788,1.996605190084788,0.020168067,,,,0.020168067,neg_log_one_minus_conversion,True,Residence-time conversion curves digitized from an uploaded figure. Flow interpretation is explicit in the t_res axis label.,,ok,False,False,MMA_fig1a,paired_time_series,residence_time,3.279445727,196.76674362,,,,
